timestamp,dtemp,iin,gpi,vcap,vcap1,vcap2,vcap3,vcap4,vin,vout
10:15:42, 49.9 °C,   -3 mV,   24 mV, 2970 mV, 1493 mV, 1477 mV,    0 mV,    0 mV,   15 mV, 4866 mV
10:15:43, 49.9 °C,   -3 mV,   24 mV, 2942 mV, 1480 mV, 1465 mV,   -0 mV,   -0 mV,   13 mV, 4877 mV
10:15:44, 49.9 °C,   -3 mV,   27 mV, 2911 mV, 1465 mV, 1448 mV,    0 mV,    0 mV,   15 mV, 4875 mV
10:15:45, 49.9 °C,   -3 mV,   22 mV, 2881 mV, 1449 mV, 1435 mV,    0 mV,    0 mV,   18 mV, 4871 mV
10:15:46, 49.9 °C,   -3 mV,   22 mV, 2852 mV, 1436 mV, 1420 mV,    0 mV,   -0 mV,   13 mV, 4875 mV
10:15:47, 49.8 °C,   -3 mV,   22 mV, 2824 mV, 1420 mV, 1404 mV,    0 mV,    0 mV,   13 mV, 4873 mV
10:15:48, 49.8 °C,   -3 mV,   18 mV, 2788 mV, 1406 mV, 1391 mV,   -0 mV,    0 mV,   15 mV, 4871 mV
10:15:49, 49.8 °C,   -3 mV,   24 mV, 2757 mV, 1390 mV, 1373 mV,    0 mV,    0 mV,   15 mV, 4877 mV
10:15:50, 49.8 °C,   -3 mV,   22 mV, 2732 mV, 1375 mV, 1358 mV,    0 mV,   -0 mV,   15 mV, 4875 mV
10:15:51, 49.8 °C,   -3 mV,   15 mV, 2697 mV, 1360 mV, 1345 mV,   -0 mV,   -0 mV,   15 mV, 4873 mV
10:15:52, 49.7 °C,   -3 mV,   22 mV, 2667 mV, 1343 mV, 1326 mV,    0 mV,    0 mV,   13 mV, 4880 mV
10:15:53, 49.8 °C,   -3 mV,   24 mV, 2629 mV, 1324 mV, 1307 mV,    0 mV,    0 mV,   18 mV, 4873 mV
10:15:54, 49.8 °C,   -3 mV,   24 mV, 2592 mV, 1308 mV, 1291 mV,    0 mV,    0 mV,   13 mV, 4873 mV
10:15:55, 49.7 °C,   -3 mV,   20 mV, 2555 mV, 1290 mV, 1271 mV,   -0 mV,    0 mV,   11 mV, 4873 mV
10:15:56, 49.7 °C,   -3 mV,   22 mV, 2524 mV, 1271 mV, 1253 mV,    0 mV,   -0 mV,   15 mV, 4875 mV
10:15:57, 49.7 °C,   -3 mV,   22 mV, 2493 mV, 1256 mV, 1237 mV,    0 mV,    0 mV,   13 mV, 4873 mV
10:15:59, 49.7 °C,   -3 mV,   27 mV, 2455 mV, 1238 mV, 1220 mV,    0 mV,    0 mV,   13 mV, 4873 mV
10:16:00, 49.7 °C,   -3 mV,   22 mV, 2422 mV, 1220 mV, 1203 mV,    0 mV,    0 mV,   15 mV, 4871 mV
10:16:01, 49.7 °C,   -3 mV,   27 mV, 2382 mV, 1204 mV, 1187 mV,    0 mV,    0 mV,   15 mV, 4873 mV
10:16:02, 49.7 °C,   -3 mV,   27 mV, 2348 mV, 1184 mV, 1167 mV,    0 mV,    0 mV,   18 mV, 4871 mV
10:16:03, 49.7 °C,   -3 mV,   22 mV, 2314 mV, 1167 mV, 1147 mV,    0 mV,    0 mV,   18 mV, 4875 mV
10:16:04, 49.7 °C,   -3 mV,   22 mV, 2276 mV, 1148 mV, 1127 mV,    0 mV,    0 mV,   15 mV, 4873 mV
