timestamp,dtemp,iin,gpi,vcap,vcap1,vcap2,vcap3,vcap4,vin,vout
13:04:10, 46.2 °C,   -2 mV, 3971 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
13:04:11, 46.1 °C,   -2 mV, 4137 mV, 4570 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4928 mV
13:04:12, 46.2 °C,   -2 mV, 4084 mV, 4567 mV, 2283 mV, 2280 mV,   -0 mV,    0 mV, 4970 mV, 4931 mV
13:04:13, 46.2 °C,   -2 mV, 4347 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4935 mV
13:04:14, 46.1 °C,   -2 mV, 3784 mV, 4567 mV, 2283 mV, 2280 mV,   -0 mV,    0 mV, 4972 mV, 4931 mV
13:04:15, 46.2 °C,   -2 mV, 4360 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4931 mV
13:04:16, 46.1 °C,   -2 mV, 3841 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4928 mV
13:04:17, 46.2 °C,   -2 mV, 4226 mV, 4571 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4928 mV
13:04:18, 46.1 °C,   -2 mV, 3826 mV, 4565 mV, 2283 mV, 2280 mV,    0 mV,   -0 mV, 4972 mV, 4931 mV
13:04:19, 46.1 °C,   -2 mV, 3892 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
13:04:20, 46.2 °C,   -2 mV, 4338 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4928 mV
13:04:21, 46.1 °C,   -2 mV, 4226 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4975 mV, 4933 mV
13:04:22, 46.1 °C,   -2 mV, 4084 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
13:04:23, 46.2 °C,   -2 mV, 3912 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
13:04:24, 46.2 °C,   -2 mV, 3832 mV, 4570 mV, 2283 mV, 2280 mV,    0 mV,   -0 mV, 4972 mV, 4935 mV
13:04:25, 46.2 °C,   -2 mV, 3907 mV, 4565 mV, 2283 mV, 2280 mV,   -0 mV,    0 mV, 4972 mV, 4933 mV
13:04:26, 46.2 °C,   -2 mV, 4126 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,   -0 mV, 4970 mV, 4933 mV
13:04:27, 46.2 °C,   -2 mV, 4060 mV, 4570 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4931 mV
13:04:28, 46.2 °C,   -2 mV, 3927 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4928 mV
13:04:29, 46.2 °C,   -2 mV, 4336 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4931 mV
13:04:30, 46.2 °C,   -2 mV, 3810 mV, 4565 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4935 mV
13:04:31, 46.2 °C,   -2 mV, 3848 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4931 mV
13:04:32, 46.2 °C,   -2 mV, 3837 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4928 mV
13:04:33, 46.2 °C,   -2 mV, 3750 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
13:04:34, 46.2 °C,   -2 mV, 4060 mV, 4570 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4931 mV
13:04:35, 46.1 °C,   -2 mV, 4210 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4928 mV
13:04:36, 46.2 °C,   -2 mV, 4172 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4933 mV
13:04:38, 46.2 °C,   -2 mV, 4292 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
13:04:39, 46.2 °C,   -2 mV, 4188 mV, 4565 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
13:04:40, 46.2 °C,   -2 mV, 4219 mV, 4570 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
13:04:41, 46.2 °C,   -2 mV, 3784 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4933 mV
13:04:42, 46.2 °C,   -2 mV, 3812 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4975 mV, 4933 mV
13:04:43, 46.2 °C,   -2 mV, 4018 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4968 mV, 4935 mV
13:04:44, 46.2 °C,   -2 mV, 4208 mV, 4570 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4931 mV
